"","work","title","year","first_author","issn","name"
"5840","https://openalex.org/W1535197192","Outlines of International Law: With an Account of Its Origin and Sources and of Its Historical Development","2000-11-21","https://openalex.org/A2972648447",NA,NA
"5841","https://openalex.org/W2064588213","Reine Rechtslehre : Einleitung in die rechtswissenschaftliche Problematik","1935-04-01","https://openalex.org/A87871570","0002-9300","American Journal of International Law"
"5842","https://openalex.org/W2109941945","World Peace Through World Law","1958-01-01","https://openalex.org/A2503385459",NA,NA
"5843","https://openalex.org/W2166000309","Le droit international : les principes, les théories, les faits","1907-07-01","https://openalex.org/A2103038992","0002-9300","American Journal of International Law"
"5844","https://openalex.org/W2798563566","The international law of recognition","1951-01-01","https://openalex.org/A2800219862",NA,NA
"5845","https://openalex.org/W3146757587","Cases on International Law","1938-06-01","https://openalex.org/A2636290799","0041-9494","University of Chicago Law Review"
"5846","https://openalex.org/W652559435","Ursprung und Begriff der Souveränität","1964-01-01","https://openalex.org/A1966631023",NA,NA
"5847","https://openalex.org/W1976120165","Dissenting and Separate Opinions at the World Court","1984-10-15","https://openalex.org/A2664423741",NA,NA
"5848","https://openalex.org/W1989800656","The search for world order : a study of thought and action","1987-07-01","https://openalex.org/A1257641814","0002-9300","American Journal of International Law"
"5849","https://openalex.org/W2021155123","International Law and the Use of Force by States","1991-09-26","https://openalex.org/A1210416503",NA,NA
"5850","https://openalex.org/W2039485100","Le droit et les droits de l'homme","1998-01-01","https://openalex.org/A2436686233",NA,NA
"5851","https://openalex.org/W2079163698","Structuralist Analysis in Contemporary Social Thought: A Comparison of the Theories of Claude Lévi-Strauss and Louis Althusser","1974-01-01","https://openalex.org/A2800346955",NA,NA
"5852","https://openalex.org/W2124054850","Deconstruction, theory and practice","1982-01-01","https://openalex.org/A2610029586",NA,NA
"5853","https://openalex.org/W2019762154","Western political theory in the face of the future","1979-01-01","https://openalex.org/A2420861717",NA,NA
"5854","https://openalex.org/W2119231315","Africa and the development of international law","1972-01-01","https://openalex.org/A2630536138",NA,NA
"5855","https://openalex.org/W2253095122","The future of law in a multicultural world","1971-01-01","https://openalex.org/A2136819911",NA,NA
"5856","https://openalex.org/W393864163","International Law: A Contemporary Perspective","1985-08-07","https://openalex.org/A1257641814",NA,NA
"5857","https://openalex.org/W608726337","Essai d'analyse structurale du Code Civil français : la règle du jeu dans la paix bourgeoise","1973-01-01","https://openalex.org/A1984588971",NA,NA
"5858","https://openalex.org/W1990655625","New states and international law","1972-01-01","https://openalex.org/A2627115247",NA,NA
"5859","https://openalex.org/W1999356086","Capital : a critical analysis of capitalist production.","1946-01-01","https://openalex.org/A2169855459",NA,NA
"5860","https://openalex.org/W2028953256","Whose Justice? Which Rationality?","1988-01-01","https://openalex.org/A2121187706",NA,NA
"5861","https://openalex.org/W2106924691","Towards a Normative Theory of International Relations: A Critical Analysis of the Philosophical and Methodological Assumptions in the Discipline with Proposals Towards a Substantive Normative Theory","1986-04-30","https://openalex.org/A2642505370",NA,NA
"5862","https://openalex.org/W2314806676","Law and politics in the world community","1953-01-01","https://openalex.org/A2325361018",NA,NA
"5863","https://openalex.org/W2795680417","Taking Rights Seriously","1979-01-24","https://openalex.org/A2796229630","0042-0220","University of Toronto Law Journal"
"5864","https://openalex.org/W3160768306","A Treatise on International Law","1925-12-01","https://openalex.org/A3162038990","0026-2234","Michigan Law Review"
"5865","https://openalex.org/W1502794874","Michel Foucault: The Will to Truth","1980-06-01","https://openalex.org/A2153239310",NA,NA
"5866","https://openalex.org/W1980562123","De Officio Hominis et Civis Juxta Legem Naturalem Libri Duo.","1928-10-01","https://openalex.org/A2318609884","0002-9300","American Journal of International Law"
"5867","https://openalex.org/W2040714828","Ferdinand de Saussure","1977-01-01","https://openalex.org/A2195067928",NA,NA
"5868","https://openalex.org/W2084536203","Jurisprudence:A Descriptive and Normative Analysis of Law","1984-09-24","https://openalex.org/A2013503462",NA,NA
"5869","https://openalex.org/W2798609486","On Certainty","1969-01-01","https://openalex.org/A2798605557",NA,NA
"5870","https://openalex.org/W1608599154","Morality and objectivity : a tribute to J.L. Mackie","1986-10-01","https://openalex.org/A216992681","0014-1704","Ethics"
"5871","https://openalex.org/W1997096001","The codification of public international law","1970-06-01","https://openalex.org/A3122215234",NA,NA
"5872","https://openalex.org/W2020508362","A handbook of public international law","1925-01-01","https://openalex.org/A2313989827",NA,NA
"5873","https://openalex.org/W2022611790","International law in twilight","1955-04-01","https://openalex.org/A2529928517","0002-9300","American Journal of International Law"
"5874","https://openalex.org/W2132571530","Maîtres et doctrines du droit des gens","1950-01-01","https://openalex.org/A2689595311",NA,NA
"5875","https://openalex.org/W2153702457","International Law in a Divided World","1987-02-19","https://openalex.org/A1951469644",NA,NA
"5876","https://openalex.org/W2795953220","Digest of International law.","1965-10-01","https://openalex.org/A2643696946","0002-9300","American Journal of International Law"
"5877","https://openalex.org/W658933338","Writings on War","1994-04-01","https://openalex.org/A2112661597",NA,NA
"5878","https://openalex.org/W1579034316","The Third Man and The Fallen Idol","1949-01-01","https://openalex.org/A2560951814",NA,NA
"5879","https://openalex.org/W1590679679","The Responsibility Dilemma for Killing in War: A Review Essay","2010-03-01","https://openalex.org/A2146749143","0048-3915","Philosophy & Public Affairs"
"5880","https://openalex.org/W1600623174","A Secret History of the IRA","2002-01-01","https://openalex.org/A2888926248",NA,NA
"5881","https://openalex.org/W2323106053","Humanist and Political Perspectives on Human Rights","2011-05-11","https://openalex.org/A2227409579","0090-5917","Political Theory"
"5882","https://openalex.org/W603346018","The Practice of Global Citizenship","2010-10-14","https://openalex.org/A2169773432",NA,NA
"5883","https://openalex.org/W1528137266","Ethics, Law and Military Operations","2010-09-27","https://openalex.org/A2123031124",NA,NA
"5884","https://openalex.org/W1528197388","Just and unjust warriors : the moral and legal status of soldiers","2008-01-01","https://openalex.org/A2153884513",NA,NA
"5885","https://openalex.org/W1602805546","Reflections on Violence","1908-01-01","https://openalex.org/A2461125227",NA,NA
"5886","https://openalex.org/W1977853724","Liberal Nationalism in Central Europe","2004-03-12","https://openalex.org/A1965341308",NA,NA
"5887","https://openalex.org/W2005719125","The badness of discrimination","2006-05-25","https://openalex.org/A2619157537","1386-2820","Ethical Theory and Moral Practice"
"5888","https://openalex.org/W2618750442","The Ethics of War","1997-10-01","https://openalex.org/A3212316957",NA,NA
"5889","https://openalex.org/W3124723493","On the Success Condition for Legitimate Self‐Defense*","2008-07-01","https://openalex.org/A2157150264","0014-1704","Ethics"
"5890","https://openalex.org/W253900823","Strategy: A History","2013-09-02","https://openalex.org/A2163428912",NA,NA
"5891","https://openalex.org/W1502605278","The Renegotiation of the Just War Tradition and the Right to War in the Twenty-First Century","2008-05-19","https://openalex.org/A2133386894",NA,NA
"5892","https://openalex.org/W1989842048","The equal application of the laws of war: a principle under pressure","2008-12-01","https://openalex.org/A2140392571","1560-7755","International Review of the Red Cross"
"5893","https://openalex.org/W2046126579","'The Armalite and the ballot box': Sinn Fein's electoral strategy in Northern Ireland","2004-03-01","https://openalex.org/A1991032955","0261-3794","Electoral Studies"
"5894","https://openalex.org/W2050353949","Desert and Avoidability in Self-Defense*","2011-12-08","https://openalex.org/A3214120189","0014-1704","Ethics"
"5895","https://openalex.org/W2119261956","How to do things with the word ‘terrorist’","2009-10-01","https://openalex.org/A2103988045","0260-2105","Review of International Studies"
"5896","https://openalex.org/W120724705","The Morality of Defensive War","2014-02-20","https://openalex.org/A2194143901",NA,NA
"5897","https://openalex.org/W2049659106","Morality and Contemporary Warfare","1999-01-01","https://openalex.org/A2116239132",NA,NA
"5898","https://openalex.org/W2070146900","Uniform Exceptions and Rights Violations","2010-02-12","https://openalex.org/A3163835055","0037-802X","Social Theory and Practice"
"5899","https://openalex.org/W2116057245","Social injustice: essays in political philosophy","2012-01-01","https://openalex.org/A1509430424",NA,"Social injustice: essays in political philosophy"
"5900","https://openalex.org/W2121153646","A Theory of Categorical Terrorism","2006-06-01","https://openalex.org/A2147980056","0037-7732","Social Forces"
