"","Source","Target","weight"
"366","https://openalex.org/A3042675344","https://openalex.org/A3042793257",4
"367","https://openalex.org/A3042675344","https://openalex.org/A3043322121",4
"368","https://openalex.org/A3042675344","https://openalex.org/A3045866268",4
"369","https://openalex.org/A3042675344","https://openalex.org/A3046065398",4
"370","https://openalex.org/A3042793257","https://openalex.org/A3043322121",4
"371","https://openalex.org/A3042793257","https://openalex.org/A3045866268",4
"372","https://openalex.org/A3042793257","https://openalex.org/A3046065398",4
"373","https://openalex.org/A3043322121","https://openalex.org/A3045866268",4
"374","https://openalex.org/A3043322121","https://openalex.org/A3046065398",4
"375","https://openalex.org/A3045866268","https://openalex.org/A3046065398",4
"376","https://openalex.org/A308024061","https://openalex.org/A3213035173",4
"377","https://openalex.org/A3159830762","https://openalex.org/A3173127730",4
"378","https://openalex.org/A718266907","https://openalex.org/A74792458",4
"379","https://openalex.org/A1063888723","https://openalex.org/A93160698",3
"380","https://openalex.org/A1186825","https://openalex.org/A1477891855",3
"381","https://openalex.org/A1186825","https://openalex.org/A2098355640",3
"382","https://openalex.org/A1477891855","https://openalex.org/A2098355640",3
"383","https://openalex.org/A150191985","https://openalex.org/A2103531143",3
"384","https://openalex.org/A150191985","https://openalex.org/A2280312759",3
"385","https://openalex.org/A150191985","https://openalex.org/A2310131763",3
"386","https://openalex.org/A1693271771","https://openalex.org/A1906171208",3
"387","https://openalex.org/A1871564184","https://openalex.org/A2609542573",3
"388","https://openalex.org/A1889377627","https://openalex.org/A3016968463",3
"389","https://openalex.org/A191498783","https://openalex.org/A2166648949",3
"390","https://openalex.org/A1965252728","https://openalex.org/A2751232827",3
"391","https://openalex.org/A1968462731","https://openalex.org/A283571327",3
"392","https://openalex.org/A1987549611","https://openalex.org/A2133122336",3
"393","https://openalex.org/A1989348731","https://openalex.org/A2024031949",3
"394","https://openalex.org/A1993195261","https://openalex.org/A2149959337",3
"395","https://openalex.org/A2019748336","https://openalex.org/A2196996014",3
"396","https://openalex.org/A2024031949","https://openalex.org/A2124170260",3
"397","https://openalex.org/A2032658423","https://openalex.org/A2101509224",3
"398","https://openalex.org/A2033957506","https://openalex.org/A2065724293",3
"399","https://openalex.org/A2061532829","https://openalex.org/A2483439867",3
"400","https://openalex.org/A2117668619","https://openalex.org/A317508920",3
"401","https://openalex.org/A2119825447","https://openalex.org/A2251172986",3
"402","https://openalex.org/A2127976643","https://openalex.org/A2345100099",3
"403","https://openalex.org/A2137703571","https://openalex.org/A2478992589",3
"404","https://openalex.org/A2150509713","https://openalex.org/A2751232827",3
"405","https://openalex.org/A2158741260","https://openalex.org/A283571327",3
"406","https://openalex.org/A2158741260","https://openalex.org/A2908025301",3
"407","https://openalex.org/A2159335196","https://openalex.org/A2609542573",3
"408","https://openalex.org/A2163647857","https://openalex.org/A2345100099",3
"409","https://openalex.org/A2205842608","https://openalex.org/A2399960623",3
"410","https://openalex.org/A2256895119","https://openalex.org/A76571739",3
"411","https://openalex.org/A2264759060","https://openalex.org/A2534125137",3
"412","https://openalex.org/A2288655849","https://openalex.org/A2296295398",3
"413","https://openalex.org/A2437087323","https://openalex.org/A2487173970",3
"414","https://openalex.org/A2484520236","https://openalex.org/A2531308404",3
"415","https://openalex.org/A2497369243","https://openalex.org/A2658970358",3
"416","https://openalex.org/A2568872979","https://openalex.org/A2618852005",3
"417","https://openalex.org/A2628131674","https://openalex.org/A2630229651",3
"418","https://openalex.org/A101976630","https://openalex.org/A2101509224",2
"419","https://openalex.org/A1054011622","https://openalex.org/A2238627804",2
"420","https://openalex.org/A105480325","https://openalex.org/A2331143379",2
"421","https://openalex.org/A1216014168","https://openalex.org/A2102370249",2
"422","https://openalex.org/A1236158729","https://openalex.org/A2122604501",2
"423","https://openalex.org/A1237694636","https://openalex.org/A2251768255",2
"424","https://openalex.org/A1237694636","https://openalex.org/A348607830",2
