X.2,X.1,item,id,display_name,ror,country_code,type,X,group
212,1140,https://openalex.org/W2908604605,https://openalex.org/I126596746,Jagiellonian University,https://ror.org/03bqmcz70,PL,education,634,NA
213,1143,https://openalex.org/W2941120482,https://openalex.org/I39498419,University of Wasit,https://ror.org/02ee2t316,IQ,education,637,NA
214,1144,https://openalex.org/W2910194153,https://openalex.org/I869660684,University of the Western Cape,https://ror.org/00h2vm590,ZA,education,638,NA
215,1151,https://openalex.org/W2936846396,https://openalex.org/I153230381,Charles Sturt University,https://ror.org/00wfvh315,AU,education,645,NA
216,1153,https://openalex.org/W2922398545,https://openalex.org/I192455969,York University,https://ror.org/05fq50484,CA,education,647,NA
217,1154,https://openalex.org/W2848123927,https://openalex.org/I99464096,KU Leuven,https://ror.org/05f950310,BE,education,648,NA
218,1156,https://openalex.org/W2883634528,https://openalex.org/I36258959,"University of California, San Diego",https://ror.org/0168r3w48,US,education,650,NA
219,1157,https://openalex.org/W2803379424,https://openalex.org/I16835326,University of St Andrews,https://ror.org/02wn5qz54,GB,education,651,NA
220,1165,https://openalex.org/W3124678494,https://openalex.org/I97018004,Stanford University,https://ror.org/00f54p054,US,education,659,NA
221,1169,https://openalex.org/W2550873366,https://openalex.org/I138908346,Queen's University Faculty of Law,NA,CA,NA,663,NA
222,1193,https://openalex.org/W2075854940,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://ror.org/042nb2s44,US,education,687,NA
223,1198,https://openalex.org/W3121965300,https://openalex.org/I136199984,Harvard University,https://ror.org/03vek6s52,US,education,692,NA
224,1200,https://openalex.org/W2794684011,https://openalex.org/I146367977,Applied Science Private University,https://ror.org/01ah6nb52,JO,education,694,NA
225,1201,https://openalex.org/W2794684011,https://openalex.org/I78934096,United Nations Population Fund,https://ror.org/058qtt435,US,government,695,NA
226,1202,https://openalex.org/W2803969581,NA,"Department of Translation, Faculty of Translation and Interpreting, Genève 4, Switzerland",NA,NA,NA,696,NA
227,1203,https://openalex.org/W2920264064,https://openalex.org/I59411706,Adam Mickiewicz University in Poznań,https://ror.org/04g6bbq64,PL,education,697,NA
228,1206,https://openalex.org/W2887465494,https://openalex.org/I185163786,King Abdulaziz University,https://ror.org/02ma4wv74,SA,education,700,NA
229,1211,https://openalex.org/W2809400457,https://openalex.org/I186272606,Guangdong University of Foreign Studies,https://ror.org/00fhc9y79,CN,education,705,NA
230,1214,https://openalex.org/W2799798885,https://openalex.org/I27483092,University of Perugia,https://ror.org/00x27da85,IT,education,708,NA
231,1226,https://openalex.org/W2788516441,https://openalex.org/I12093191,University of Stirling,https://ror.org/045wgfr59,GB,education,720,NA
233,1228,https://openalex.org/W2796623194,https://openalex.org/I72816309,Drexel University,https://ror.org/04bdffz58,US,education,722,NA
234,1232,https://openalex.org/W2799631137,https://openalex.org/I13955877,Bar-Ilan University,https://ror.org/03kgsv495,IL,education,726,NA
235,1233,https://openalex.org/W2799631137,https://openalex.org/I95457486,"University of California, Berkeley",https://ror.org/01an7q238,US,education,727,NA
236,1234,https://openalex.org/W2799631137,NA,"The Supreme Court of Israel, Jerusalem, Israel",NA,NA,NA,728,NA
237,1235,https://openalex.org/W2801088255,https://openalex.org/I161593684,Stockholm University,https://ror.org/05f0yaq80,SE,education,729,NA
238,1240,https://openalex.org/W2904528483,https://openalex.org/I45129253,University College London,https://ror.org/02jx3x895,GB,education,734,NA
239,1242,https://openalex.org/W2807260125,NA,"School of Sociology, Politics and International Studies",NA,NA,NA,736,NA
240,1248,https://openalex.org/W2883287153,https://openalex.org/I157725225,University of Illinois Urbana-Champaign,https://ror.org/047426m28,US,education,742,NA
